legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,79.0,112.0,142.0,168.0,198.0,238.0,293.0,379.0,515.0,1253.0,2542.0,1736.0,621.0,324.0,205.0,145.0
bravo    | p=0.55 | alpha=0.054657226562499994,492.0,985.0,2105.0,2745.0,2897.0,2903.0,2774.0,2187.0,1435.0,759.0,494.0,357.0,275.0,220.0,183.0,155.0
bravo    | p=0.51 | alpha=0.20197070312499998,1366.0,2847.0,2980.0,2982.0,2970.0,2897.0,2504.0,1873.0,1449.0,974.0,726.0,570.0,467.0,394.0,340.0,297.0
