legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,170.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.054657226562499994,3000.0,3000.0,3000.0,3000.0,991.0,509.0,351.0,271.0,220.0,164.0,132.0,109.0,94.0,84.0,73.0,67.0
bravo    | p=0.51 | alpha=0.20197070312499998,3000.0,3000.0,3000.0,2782.0,1499.0,1045.0,802.0,659.0,558.0,429.0,348.0,293.0,255.0,225.0,200.0,182.0
