legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,32.0,39.0,47.0,49.0,57.0,62.0,72.0,82.0,100.0,160.0,288.0,195.0,112.0,74.0,57.0,47.0
bravo    | p=0.55 | alpha=0.054657226562499994,239.0,399.0,711.0,1052.0,1423.0,1448.0,1094.0,736.0,530.0,332.0,239.0,187.0,153.0,130.0,111.0,96.0
bravo    | p=0.51 | alpha=0.20197070312499998,823.0,1724.0,2457.0,2479.0,2299.0,1861.0,1382.0,1065.0,863.0,623.0,483.0,394.0,336.0,289.0,255.0,227.0
