legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=1,1000.0,1000.0,1000.0,1000.0,1000.0,998.0,977.0,958.0,938.0,901.0,863.0,397.0,157.0,89.0,58.0,41.0
bravo_without_replacement | p=0.55 | alpha=1,1000.0,1000.0,1000.0,1000.0,1000.0,973.0,533.0,297.0,196.0,108.0,70.0,49.0,36.0,30.0,24.0,19.0
bravo_without_replacement | p=0.52 | alpha=1,1000.0,1000.0,1000.0,1000.0,874.0,417.0,254.0,176.0,129.0,82.0,56.0,41.0,33.0,27.0,21.0,19.0
