legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.018798828125962404,1000.0,1000.0,1000.0,1000.0,824.0,518.0,375.0,291.0,241.0,176.0,140.0,117.0,100.0,87.0,77.0,70.0
bayesian | a=500 | b=500 | critical_value=0.062500000000875,1000.0,1000.0,1000.0,1000.0,820.0,581.0,451.0,370.0,315.0,239.0,197.0,166.0,146.0,127.0,115.0,105.0
bayesian | a=1000 | b=1000 | critical_value=0.10058593750079882,1000.0,1000.0,1000.0,1000.0,832.0,604.0,477.0,397.0,338.0,263.0,217.0,185.0,158.0,142.0,128.0,116.0
