legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.08471365737915038,25.0,25.0,30.0,30.0,30.0,40.0,50.0,60.0,70.0,110.0,180.0,180.0,110.0,80.0,60.0,45.0
bravo    | p=0.55 | alpha=0.19221484374999998,100.0,130.0,175.0,205.0,245.0,310.0,390.0,350.0,270.0,190.0,140.0,110.0,90.0,80.0,70.0,60.0
bravo    | p=0.52 | alpha=0.420501953125,130.0,180.0,235.0,280.0,340.0,425.0,385.0,310.0,255.0,190.0,150.0,125.0,105.0,90.0,80.0,70.0
