legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
clip     | alpha=0.054657226562499994,138.0,374.0,479.0,487.0,494.0,496.0,496.0,496.0,494.0,487.0,455.0,363.0,270.0,207.0,165.0,131.0
