legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=0.002441406250995117,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1967.0,1309.0,928.0,535.0,346.0,242.0,178.0,137.0,108.0,87.0
