legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.004882812500990234,499.1628924683985,495.0839248919701,484.43882945473763,473.0606138236833,455.0110667956916,428.5132364021438,393.04173884686304,350.12644813796163,303.31559361173385,215.2738947052856,151.74575518358552,112.40803191649192,88.47841589565711,73.53625858163394,64.06276486899506,58.08762551381647
max_sprt | min_stop=50 | alpha=0.03953564453125,498.9851881365357,494.4966949727687,483.4890004471714,472.0431170763193,454.09677508961363,427.8816712003048,392.7714417648966,350.1087567412173,303.2750098590947,214.3801916449284,149.93666165916002,110.35293814700049,86.63219257677406,72.04620727618953,62.93878276891243,57.290165351827625
bravo    | p=0.7 | min_stop=50 | alpha=0.17660546875,497.1613390664049,489.86543094760987,478.39495831942963,469.27259201756436,457.04649159888015,440.98876556403883,420.358774642816,394.51860587245017,363.13266242811113,285.620351283437,200.9295025437539,131.42868284175086,89.17451002651241,68.40565468472161,58.76691889386394,54.141263081265365
bravo    | p=0.55 | min_stop=50 | alpha=0.080998046875,499.84990524932465,497.632698253737,488.45531828044477,477.1461279489191,458.3941643402257,430.6157453075658,393.9994767567065,351.03634791332047,305.9219836938572,225.50338849073063,169.71741735003573,134.36681474934144,111.09885546170307,94.78616598984313,82.79678002025366,73.72094012517843
clip     | min_stop=50 | alpha=0.0712421875,498.98328341645447,494.46391108602927,483.3390519691485,471.76400237745,453.6292103118058,427.1823197366552,391.8424003878997,349.01491555189466,302.13167665308583,213.4818892832964,149.44230717172158,110.13912788735122,86.55494341988981,72.0231392360332,62.93329546909121,57.289163107129575
bravo_without_replacement | p=0.7 | min_stop=50 | alpha=0.174654296875,497.16011440358176,489.8534266381857,478.3523278039617,469.19787667454636,456.9216715776187,440.790183593485,420.05862363180313,394.0894059176071,362.5556140620378,284.78145676400095,200.0691810297208,130.83353200936295,88.89028304457777,68.30159936635485,58.73412461864006,54.13211211815561
bravo_without_replacement | p=0.55 | min_stop=50 | alpha=0.06831542968749998,499.88574000520873,497.92481941618337,489.2662957822213,478.3399559240754,460.0280823456502,432.7290762223111,396.63064977966894,354.22797004561585,309.6962723259988,230.26095706229685,174.86842226382026,139.39372011985546,115.77816732800451,99.062265018757,86.66786195905577,77.19217637864756
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.16309430664062502,498.5136965895636,493.11263778622015,481.6762865184948,470.5815456799477,453.6776254954695,429.22139436608484,396.23147921881963,355.34902055011423,309.23597922847665,217.95927646258102,149.3746283825225,107.51047847867511,83.37934023097745,69.23176825816637,60.80964839943344,55.8307171482938
bayesian_with_replacement | a=1 | b=1 | min_stop=50 | critical_value=0.005737304697385255,498.9942812667518,494.5085929726326,483.4411033518491,471.91129158266006,453.83202552588415,427.44522330839465,392.15985838173134,349.36995944575216,302.49942457870657,213.80431269789662,149.68010246779937,110.30935384387972,86.68339963224985,72.12235904666325,63.006458510306864,57.33827667774659
