legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=1e-12,1000.0,1000.0,1000.0,982.0,961.0,927.0,882.0,831.0,777.0,671.0,575.0,497.0,430.0,376.0,334.0,298.0
bayesian | a=500 | b=500 | critical_value=1e-12,1000.0,1000.0,1000.0,982.0,962.0,929.0,886.0,839.0,790.0,697.0,615.0,546.0,488.0,440.0,399.0,365.0
bayesian | a=1000 | b=1000 | critical_value=1e-12,1000.0,1000.0,1000.0,982.0,962.0,929.0,888.0,842.0,795.0,707.0,629.0,562.0,507.0,461.0,421.0,388.0
