legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,47.0,60.0,75.0,82.0,95.0,110.0,130.0,155.0,188.0,261.0,299.0,279.0,208.0,140.0,98.0,75.0
bravo    | p=0.55 | alpha=0.05,320.0,424.0,453.0,457.0,461.0,461.0,457.0,453.0,440.0,396.0,316.0,245.0,196.0,160.0,137.0,118.0
bravo    | p=0.51 | alpha=0.05,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,495.0,495.0,489.0,475.0,443.0
