,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=1 | b=1 | critical_value=1e-12,37,7.275957614183426e-12,1.475241121839301e-13,1.6066666643638816e-12,7.275957614183426e-12,1.5138976527596386e-11,3.1054440886798236e-11,6.283580383636694e-11,1.2547844078577704e-10,2.4741128862775677e-10,4.81900080922296e-10,1.7653700802553087e-09,6.1886548790943145e-09,2.0820565038911382e-08,6.739986666787664e-08,2.1043870232619792e-07,6.350819507742124e-07,1.8562115921017532e-06
bayesian | a=1 | b=1 | critical_value=1e-12,42,8.412825991399586e-12,1.2310550622368047e-13,1.6409517073440758e-12,8.412825991399586e-12,1.8568423130711398e-11,4.0325526882152755e-11,8.622044016293198e-11,1.8159492553676358e-10,3.769506591793947e-10,7.715489912878435e-10,3.1045506563986682e-09,1.1870335150493221e-08,4.3255824060307956e-08,1.5062017857822788e-07,5.023217676594317e-07,1.6077448360695237e-06,4.947008076226305e-06
bayesian | a=1 | b=1 | critical_value=1e-12,47,6.0467186813184526e-12,6.38584038319977e-14,1.041818174099716e-12,6.0467186813184526e-12,1.4157274230331553e-11,3.255086233862159e-11,7.35426725255549e-11,1.633670306781917e-10,3.570060820051319e-10,7.678849014247827e-10,3.3938125492045172e-09,1.4153238006636069e-08,5.586281038977232e-08,2.0923454595314352e-07,7.453572730001805e-07,2.5300586483116794e-06,8.195658809803352e-06
bayesian | a=1 | b=1 | critical_value=1e-12,51,6.983302824892235e-12,5.913973631514554e-14,1.1070827377268651e-12,6.983302824892235e-12,1.700385320012808e-11,4.059521638907028e-11,9.50880560175222e-11,2.186576220090416e-10,4.938980268870318e-10,1.0964125042039537e-09,5.139042582909562e-09,2.2595952156681578e-08,9.348513077146287e-08,3.648689506345282e-07,1.346282843204237e-06,4.70401176187859e-06,1.5583332560857612e-05
bayesian | a=1 | b=1 | critical_value=1e-12,54,1.336070143409529e-11,1.008150736454263e-13,2.030131960031716e-12,1.336070143409529e-11,3.316974631224193e-11,8.064568891255106e-11,1.9214714536354518e-10,4.4891936800390655e-10,1.0290430759047808e-09,2.315586885377435e-09,1.1113372329868448e-08,4.9802541892251214e-08,2.090103951610107e-07,8.23488857602109e-07,3.0518379570247813e-06,1.06535555212768e-05,3.50619482619569e-05
bayesian | a=1 | b=1 | critical_value=1e-12,58,1.0620140183936755e-11,6.426088102169059e-14,1.4848148315390477e-12,1.0620140183936755e-11,2.742014400189557e-11,6.922347507216974e-11,1.709938049871357e-10,4.1355038257625456e-10,9.798398765710755e-10,2.275615124975796e-09,1.1582441322908358e-08,5.472505728825042e-08,2.4073959434773676e-07,9.883735686938631e-07,3.793963660834227e-06,1.3633025998868399e-05,4.5885174986442666e-05
bayesian | a=1 | b=1 | critical_value=1e-12,62,8.236502408928703e-12,3.996496797872141e-14,1.059575519543387e-12,8.236502408928703e-12,2.2116118212106627e-11,5.79745289663686e-11,1.4846989664665697e-10,3.717064533480499e-10,9.103077816953039e-10,2.1819667697342256e-09,1.1777847936694949e-08,5.867222126073702e-08,2.705445268673618e-07,1.1574336612534009e-06,4.601892332541219e-06,1.7021645537069747e-05,5.858957261948769e-05
bayesian | a=1 | b=1 | critical_value=1e-12,65,1.2205186053449932e-11,5.276655580420596e-14,1.504905728941868e-12,1.2205186053449932e-11,3.341464843450509e-11,8.920243603410944e-11,2.3236973604233536e-10,5.910674095689323e-10,1.4689861777095258e-09,3.5691797804498937e-09,1.9727078905524136e-08,1.0015821679527191e-07,4.6848672522832627e-07,2.0232526537576564e-06,8.079691950079003e-06,2.9858013321181653e-05,0.00010210081907985806
bayesian | a=1 | b=1 | critical_value=1e-12,68,1.5881556215523868e-11,6.117656720700912e-14,1.8768681001164652e-12,1.5881556215523868e-11,4.4331453158991845e-11,1.2052115317087124e-10,3.1935064737496465e-10,8.25317405374948e-10,2.081585438665218e-09,5.126675081716134e-09,2.901393931192824e-08,1.501369935475787e-07,7.123655423881199e-07,3.105640678019284e-06,1.2456620403732373e-05,4.599041730642967e-05,0.00015623747082114503
bayesian | a=1 | b=1 | critical_value=1e-12,71,1.9343396576559495e-11,6.638997229838353e-14,2.1910346105136926e-12,1.9343396576559495e-11,5.505262938159485e-11,1.5241961828325402e-10,4.1081573032965757e-10,1.0786884338591863e-09,2.7609707171462324e-09,6.892776405727589e-09,3.9943088483878117e-08,2.1065892985961977e-07,1.0139103266579495e-06,4.462141331942849e-06,1.7976150063869116e-05,6.630783079746285e-05,0.00022378563290815
bayesian | a=1 | b=1 | critical_value=1e-12,74,2.2479149579945946e-11,6.87428182423598e-14,2.440462758565933e-12,2.2479149579945946e-11,6.523063809659056e-11,1.839187144752125e-10,5.042359316997102e-10,1.3451741154962195e-09,3.494112000011426e-09,8.842194211353298e-09,5.246673613576485e-08,2.8201973109860195e-07,1.3769039644736465e-06,6.1170622341174795e-06,2.475144745765257e-05,9.121573306298068e-05,0.0003058346334669831
bayesian | a=1 | b=1 | critical_value=1e-12,77,2.5173571781657505e-11,6.85914525653493e-14,2.6194671303692935e-12,2.5173571781657505e-11,7.448057301179402e-11,2.1385962327485637e-10,5.964009648422515e-10,1.616511517397163e-09,4.261177886539642e-09,1.0930593163868033e-08,6.641165084439137e-08,3.63828684673112e-07,1.8018788019731453e-06,8.080910519223912e-06,3.284145121159958e-05,0.00012091843191479172,0.0004027717011314906
