legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,351.0,378.0,408.0,431.0,461.0,502.0,557.0,643.0,779.0,1378.0,1776.0,1381.0,565.0,323.0,300.0,300.0
bravo_without_replacement | p=0.55 | min_stop=300 | alpha=0.05953515625,600.0,1050.0,1771.0,1918.0,1949.0,1949.0,1914.0,1750.0,1338.0,734.0,482.0,354.0,300.0,300.0,300.0,300.0
bravo_without_replacement | p=0.51 | min_stop=300 | alpha=0.22733593749999997,1309.0,1969.0,1989.0,1989.0,1985.0,1969.0,1894.0,1639.0,1307.0,890.0,667.0,528.0,433.0,367.0,317.0,300.0
