legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,842.0,303.0,300.0,300.0,300.0,300.0
bravo_without_replacement | p=0.55 | min_stop=300 | alpha=0.05953515625,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1123.0,707.0,511.0,335.0,300.0,300.0,300.0,300.0,300.0,300.0
bravo_without_replacement | p=0.51 | min_stop=300 | alpha=0.22733593749999997,2000.0,2000.0,2000.0,2000.0,2000.0,1691.0,1218.0,947.0,771.0,564.0,441.0,363.0,306.0,300.0,300.0,300.0
