legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | min_stop=300 | alpha=1,305.0,305.0,310.0,310.0,313.0,315.0,320.0,325.0,335.0,376.0,403.0,300.0,300.0,300.0,300.0,300.0
bravo_without_replacement | p=0.55 | min_stop=300 | alpha=0.05953515625,362.0,480.0,739.0,963.0,1127.0,1121.0,936.0,692.0,511.0,335.0,300.0,300.0,300.0,300.0,300.0,300.0
bravo_without_replacement | p=0.51 | min_stop=300 | alpha=0.22733593749999997,771.0,1462.0,1707.0,1707.0,1639.0,1462.0,1192.0,945.0,771.0,564.0,441.0,363.0,306.0,300.0,300.0,300.0
