legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.07735484313964844,500.0,500.0,500.0,500.0,490.0,480.0,470.0,460.0,450.0,430.0,110.0,70.0,50.0,40.0,30.0,30.0
bravo_without_replacement | p=0.55 | alpha=0.069291015625,500.0,500.0,500.0,500.0,480.0,350.0,280.0,240.0,210.0,170.0,140.0,120.0,100.0,90.0,80.0,70.0
bravo_without_replacement | p=0.52 | alpha=0.09096683931350708,500.0,500.0,500.0,480.0,430.0,370.0,330.0,300.0,270.0,230.0,200.0,180.0,160.0,150.0,130.0,120.0
