legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.07416894531249998,45.0,55.0,60.0,495.0,490.0,480.0,470.0,465.0,455.0,440.0,425.0,265.0,155.0,105.0,80.0,60.0
bravo_without_replacement | p=0.55 | alpha=0.0644130859375,185.0,265.0,340.0,495.0,490.0,480.0,410.0,355.0,310.0,245.0,195.0,160.0,135.0,120.0,105.0,95.0
bravo_without_replacement | p=0.52 | alpha=0.07307141113281249,305.0,385.0,460.0,495.0,470.0,435.0,400.0,365.0,340.0,290.0,255.0,225.0,205.0,185.0,170.0,155.0
