legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.07416894531249998,25.0,30.0,30.0,495.0,485.0,475.0,465.0,455.0,445.0,425.0,100.0,60.0,45.0,35.0,30.0,25.0
bravo_without_replacement | p=0.55 | alpha=0.0644130859375,125.0,165.0,225.0,495.0,480.0,350.0,285.0,235.0,205.0,155.0,130.0,110.0,95.0,90.0,80.0,70.0
bravo_without_replacement | p=0.52 | alpha=0.07307141113281249,250.0,325.0,410.0,490.0,425.0,375.0,335.0,310.0,280.0,240.0,210.0,185.0,170.0,155.0,140.0,130.0
