legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.011962890625976073,2000.0,2000.0,2000.0,2000.0,1085.0,649.0,455.0,351.0,283.0,203.0,161.0,131.0,112.0,97.0,86.0,78.0
bayesian | a=500 | b=500 | critical_value=0.03613281250092773,2000.0,2000.0,2000.0,2000.0,1174.0,791.0,600.0,481.0,404.0,305.0,248.0,207.0,178.0,158.0,142.0,127.0
bayesian | a=1000 | b=1000 | critical_value=0.06152343750087695,2000.0,2000.0,2000.0,2000.0,1224.0,855.0,661.0,542.0,459.0,351.0,284.0,242.0,209.0,185.0,167.0,148.0
