legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.011962890625976073,597.0,1614.0,1970.0,1980.0,1980.0,1968.0,1911.0,1678.0,1288.0,790.0,541.0,399.0,311.0,250.0,208.0,176.0
bayesian | a=500 | b=500 | critical_value=0.03613281250092773,989.0,1915.0,1982.0,1986.0,1980.0,1965.0,1896.0,1639.0,1282.0,836.0,606.0,467.0,377.0,314.0,269.0,234.0
bayesian | a=1000 | b=1000 | critical_value=0.06152343750087695,1169.0,1950.0,1987.0,1987.0,1983.0,1967.0,1896.0,1638.0,1294.0,868.0,641.0,501.0,410.0,343.0,294.0,258.0
