legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,32.0,39.0,47.0,49.0,57.0,62.0,72.0,82.0,100.0,160.0,261.0,190.0,110.0,74.0,57.0,47.0
bravo    | p=0.55 | alpha=0.0566083984375,235.0,393.0,677.0,917.0,1109.0,1123.0,955.0,706.0,521.0,327.0,237.0,184.0,151.0,127.0,111.0,96.0
bravo    | p=0.51 | alpha=0.25270117187499996,702.0,1353.0,1670.0,1682.0,1613.0,1440.0,1169.0,918.0,749.0,541.0,419.0,345.0,290.0,252.0,219.0,195.0
