legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,44.0,59.0,69.0,79.0,90.0,105.0,125.0,150.0,190.0,361.0,701.0,462.0,218.0,135.0,95.0,69.0
bravo    | p=0.55 | alpha=0.0566083984375,306.0,553.0,1022.0,1365.0,1559.0,1574.0,1408.0,1075.0,765.0,452.0,313.0,237.0,189.0,157.0,132.0,115.0
bravo    | p=0.51 | alpha=0.25270117187499996,862.0,1656.0,1866.0,1872.0,1838.0,1722.0,1468.0,1155.0,918.0,646.0,492.0,397.0,333.0,284.0,248.0,217.0
