legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,79.0,112.0,142.0,165.0,195.0,236.0,291.0,377.0,508.0,1157.0,1752.0,1442.0,616.0,324.0,205.0,145.0
bravo    | p=0.55 | alpha=0.0566083984375,481.0,955.0,1730.0,1909.0,1949.0,1951.0,1919.0,1772.0,1376.0,751.0,490.0,353.0,273.0,220.0,182.0,155.0
bravo    | p=0.52 | alpha=0.112216796875,942.0,1850.0,1977.0,1983.0,1979.0,1962.0,1895.0,1634.0,1260.0,811.0,587.0,452.0,364.0,305.0,260.0,226.0
