legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,14.0,16.0,16.0,16.0,19.0,19.0,22.0,24.0,24.0,32.0,37.0,32.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.0566083984375,127.0,182.0,256.0,313.0,361.0,365.0,321.0,264.0,218.0,161.0,127.0,106.0,94.0,81.0,73.0,66.0
bravo    | p=0.51 | alpha=0.25270117187499996,446.0,761.0,1007.0,1021.0,951.0,811.0,666.0,551.0,468.0,361.0,294.0,250.0,215.0,191.0,171.0,155.0
